timestamp,country_code,country_name,latitude,longitude,climate_zone,cloud_cover_pct,cloud_type,satellite_reflectance,optical_depth,humidity_pct,temperature_c,pressure_hpa,wind_speed_ms,cloud_base_altitude_m
2026-07-01T00:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,63.15,Stratocumulus,0.5045,16.698,67.83,-2.7,1012.66,0.5,2923.6
2026-07-01T01:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,59.7,Altocumulus,0.5329,9.286,69.64,-0.69,1011.15,0.5,2340.0
2026-07-01T02:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,61.05,Stratocumulus,0.4457,15.417,66.59,0.34,1013.33,0.5,1019.5
2026-07-01T03:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,54.95,Cumulus,0.4474,5.539,68.11,2.11,1010.66,0.5,2816.2
2026-07-01T04:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,62.96,Altocumulus,0.3509,15.506,61.05,2.41,1010.71,0.5,2437.7
2026-07-01T05:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,70.85,Cumulus,0.4803,13.116,57.88,3.35,1006.2,0.5,2662.6
2026-07-01T06:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,68.38,Altocumulus,0.5651,14.341,60.93,5.18,1008.27,0.5,2779.0
2026-07-01T07:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,51.43,Cumulus,0.6053,10.681,57.29,8.33,1014.18,0.5,1117.7
2026-07-01T08:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,66.32,Stratocumulus,0.4118,17.771,52.86,8.13,1009.13,0.5,2386.4
2026-07-01T09:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,66.37,Cumulus,0.4336,9.995,51.82,10.37,1009.11,0.5,2976.0
2026-07-01T10:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,64.27,Cumulus,0.4487,11.117,54.53,9.65,1008.55,0.5,1662.1
2026-07-01T11:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,71.04,Stratocumulus,0.4081,5.807,44.77,11.07,1008.48,0.5,2755.0
2026-07-01T12:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,61.93,Cumulus,0.4447,7.341,57.82,9.26,1014.51,0.5,1600.8
2026-07-01T13:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,66.74,Stratocumulus,0.3912,8.872,49.05,8.52,1011.45,0.5,2651.8
2026-07-01T14:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,64.44,Stratocumulus,0.4365,14.787,52.33,10.46,1012.2,0.5,1768.7
2026-07-01T15:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,75.54,Stratocumulus,0.5443,10.047,54.29,9.72,1010.57,0.5,2382.4
2026-07-01T16:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,66.14,Stratocumulus,0.4443,6.101,56.35,9.97,1011.53,0.5,1196.9
2026-07-01T17:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,71.28,Altocumulus,0.5657,5.88,54.98,8.47,1012.32,0.5,1511.7
2026-07-01T18:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,74.84,Altocumulus,0.4223,8.689,59.05,5.37,1008.45,0.5,1925.0
2026-07-01T19:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,66.61,Cumulus,0.5531,12.773,58.92,2.71,1011.24,0.5,1500.6
2026-07-01T20:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,68.53,Cumulus,0.571,6.753,65.67,4.18,1010.56,0.5,1595.8
2026-07-01T21:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,63.17,Altocumulus,0.5467,5.344,67.31,0.51,1010.42,0.5,2908.1
2026-07-01T22:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,62.86,Stratocumulus,0.6447,9.948,77.16,1.83,1012.07,0.5,1567.7
2026-07-01T23:00:00+00:00,DE,Germany,51.1657,10.4515,Temperate Oceanic,74.71,Altocumulus,0.4677,15.622,66.67,0.48,1009.55,0.5,2662.6
