timestamp,country_code,country_name,latitude,longitude,climate_zone,cloud_cover_pct,cloud_type,satellite_reflectance,optical_depth,humidity_pct,temperature_c,pressure_hpa,wind_speed_ms,cloud_base_altitude_m
2026-07-01T00:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,56.77,Altocumulus,0.387,5.225,72.78,7.22,1011.76,0.5,1230.6
2026-07-01T01:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,58.62,Cumulus,0.4384,14.4,70.24,9.07,1013.21,0.5,2092.2
2026-07-01T02:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,53.05,Altocumulus,0.4808,13.842,63.28,8.43,1015.91,0.5,2642.1
2026-07-01T03:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,60.0,Cumulus,0.3526,10.104,66.08,9.0,1011.13,0.5,1793.9
2026-07-01T04:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,54.67,Altocumulus,0.3861,5.237,61.6,13.46,1014.42,0.5,1668.0
2026-07-01T05:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,53.76,Stratocumulus,0.5087,13.638,55.87,10.59,1013.17,0.5,2961.4
2026-07-01T06:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,56.75,Stratocumulus,0.4436,8.758,66.07,12.32,1010.87,0.5,1212.3
2026-07-01T07:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,67.89,Cumulus,0.4135,11.121,56.98,13.77,1009.77,0.5,2811.7
2026-07-01T08:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,71.03,Cumulus,0.4467,12.113,56.71,16.39,1011.71,0.5,1802.8
2026-07-01T09:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,65.06,Stratocumulus,0.4246,14.505,54.18,16.0,1014.25,0.5,1799.0
2026-07-01T10:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,65.96,Stratocumulus,0.6278,7.155,50.72,17.37,1012.08,0.5,2817.0
2026-07-01T11:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,66.09,Altocumulus,0.4831,17.763,50.95,17.94,1010.12,0.5,2221.0
2026-07-01T12:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,70.59,Cumulus,0.4763,11.85,52.99,16.47,1008.89,0.5,2120.8
2026-07-01T13:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,79.75,Cumulus,0.4089,12.949,57.64,16.95,1009.58,0.5,2346.6
2026-07-01T14:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,73.94,Stratocumulus,0.4519,6.707,49.55,18.85,1012.79,0.5,1926.8
2026-07-01T15:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,72.62,Stratocumulus,0.4847,14.808,50.91,17.07,1008.28,0.5,1422.3
2026-07-01T16:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,68.81,Cumulus,0.5993,14.484,58.28,15.21,1011.91,0.5,2958.8
2026-07-01T17:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,72.61,Stratocumulus,0.3716,17.11,56.97,14.3,1011.84,0.5,2312.9
2026-07-01T18:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,64.14,Cumulus,0.3944,9.504,56.4,12.16,1009.81,0.5,1619.1
2026-07-01T19:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,73.97,Altocumulus,0.6278,13.41,65.73,11.98,1005.84,0.5,2890.7
2026-07-01T20:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,72.32,Altocumulus,0.3604,7.286,67.25,10.96,1009.71,0.5,2849.4
2026-07-01T21:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,63.59,Cumulus,0.5773,7.446,66.97,8.79,1010.27,0.5,2469.9
2026-07-01T22:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,65.52,Stratocumulus,0.3723,13.394,67.94,8.99,1010.95,0.5,2373.4
2026-07-01T23:00:00+00:00,ES,Spain,40.4637,-3.7492,Mediterranean / Semi-arid,67.44,Altocumulus,0.6249,15.755,72.74,8.35,1014.67,0.5,2214.8
