timestamp,country_code,country_name,latitude,longitude,climate_zone,cloud_cover_pct,cloud_type,satellite_reflectance,optical_depth,humidity_pct,temperature_c,pressure_hpa,wind_speed_ms,cloud_base_altitude_m
2026-07-01T00:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,56.77,Altocumulus,0.387,5.225,72.78,5.21,1011.76,0.5,1230.6
2026-07-01T01:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,58.62,Cumulus,0.4384,14.4,70.24,7.05,1013.21,0.5,2092.2
2026-07-01T02:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,53.05,Altocumulus,0.4808,13.842,63.28,6.42,1015.91,0.5,2642.1
2026-07-01T03:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,60.0,Cumulus,0.3526,10.104,66.08,6.99,1011.13,0.5,1793.9
2026-07-01T04:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,54.67,Altocumulus,0.3861,5.237,61.6,11.44,1014.42,0.5,1668.0
2026-07-01T05:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,53.76,Stratocumulus,0.5087,13.638,55.87,8.57,1013.17,0.5,2961.4
2026-07-01T06:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,56.75,Stratocumulus,0.4436,8.758,66.07,10.3,1010.87,0.5,1212.3
2026-07-01T07:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,67.89,Cumulus,0.4135,11.121,56.98,11.75,1009.77,0.5,2811.7
2026-07-01T08:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,71.03,Cumulus,0.4467,12.113,56.71,14.37,1011.71,0.5,1802.8
2026-07-01T09:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,65.06,Stratocumulus,0.4246,14.505,54.18,13.99,1014.25,0.5,1799.0
2026-07-01T10:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,65.96,Stratocumulus,0.6278,7.155,50.72,15.36,1012.08,0.5,2817.0
2026-07-01T11:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,66.09,Altocumulus,0.4831,17.763,50.95,15.93,1010.12,0.5,2221.0
2026-07-01T12:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,70.59,Cumulus,0.4763,11.85,52.99,14.46,1008.89,0.5,2120.8
2026-07-01T13:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,79.75,Cumulus,0.4089,12.949,57.64,14.93,1009.58,0.5,2346.6
2026-07-01T14:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,73.94,Stratocumulus,0.4519,6.707,49.55,16.84,1012.79,0.5,1926.8
2026-07-01T15:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,72.62,Stratocumulus,0.4847,14.808,50.91,15.06,1008.28,0.5,1422.3
2026-07-01T16:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,68.81,Cumulus,0.5993,14.484,58.28,13.19,1011.91,0.5,2958.8
2026-07-01T17:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,72.61,Stratocumulus,0.3716,17.11,56.97,12.29,1011.84,0.5,2312.9
2026-07-01T18:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,64.14,Cumulus,0.3944,9.504,56.4,10.14,1009.81,0.5,1619.1
2026-07-01T19:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,73.97,Altocumulus,0.6278,13.41,65.73,9.97,1005.84,0.5,2890.7
2026-07-01T20:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,72.32,Altocumulus,0.3604,7.286,67.25,8.95,1009.71,0.5,2849.4
2026-07-01T21:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,63.59,Cumulus,0.5773,7.446,66.97,6.78,1010.27,0.5,2469.9
2026-07-01T22:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,65.52,Stratocumulus,0.3723,13.394,67.94,6.97,1010.95,0.5,2373.4
2026-07-01T23:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,67.44,Altocumulus,0.6249,15.755,72.74,6.33,1014.67,0.5,2214.8
2026-07-02T00:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,68.88,Cumulus,0.6152,11.727,69.48,7.1,1009.06,0.5,1669.8
2026-07-02T01:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,64.96,Altocumulus,0.5284,13.22,66.36,5.92,1011.66,0.5,2484.3
2026-07-02T02:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,58.56,Cumulus,0.3928,13.394,67.73,5.13,1013.82,0.5,1414.4
2026-07-02T03:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,65.35,Cumulus,0.4668,8.847,61.11,6.29,1012.25,0.5,2002.0
2026-07-02T04:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,68.25,Altocumulus,0.41,8.047,61.99,10.18,1014.27,0.5,1028.8
2026-07-02T05:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,59.01,Altocumulus,0.6156,16.894,59.64,11.33,1008.98,0.5,2545.9
2026-07-02T06:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,53.91,Stratocumulus,0.4868,11.602,57.17,9.64,1013.22,0.5,1178.3
2026-07-02T07:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,63.16,Cumulus,0.3925,11.214,57.79,11.29,1010.24,0.5,2838.2
2026-07-02T08:00:00+00:00,FR,France,46.2276,2.2137,Oceanic / Mediterranean,63.66,Altocumulus,0.558,14.844,53.89,12.97,1011.84,0.5,1450.8
