timestamp,country_code,country_name,latitude,longitude,climate_zone,cloud_cover_pct,cloud_type,satellite_reflectance,optical_depth,humidity_pct,temperature_c,pressure_hpa,wind_speed_ms,cloud_base_altitude_m
2026-07-01T00:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,81.65,Deep Convection,0.7307,15.049,94.55,21.86,1010.59,0.5,849.0
2026-07-01T01:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,77.89,Stratocumulus,0.4951,13.043,93.5,17.6,1009.82,0.5,2087.0
2026-07-01T02:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,79.56,Stratocumulus,0.4309,8.397,88.21,18.98,1008.36,0.5,1329.6
2026-07-01T03:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,83.82,Deep Convection,0.8107,31.567,85.86,19.47,1007.54,0.5,908.7
2026-07-01T04:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,89.17,Deep Convection,0.7696,28.998,84.68,22.07,1005.33,0.5,688.0
2026-07-01T05:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,82.09,Deep Convection,0.6634,39.953,86.55,22.65,1009.62,0.5,652.6
2026-07-01T06:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,82.26,Deep Convection,0.8576,33.231,83.89,23.48,1009.63,0.5,431.9
2026-07-01T07:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,82.5,Deep Convection,0.8179,20.427,84.56,24.79,1007.0,0.5,510.1
2026-07-01T08:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,85.51,Deep Convection,0.8401,39.529,83.94,26.47,1004.92,0.5,674.9
2026-07-01T09:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,87.11,Deep Convection,0.7437,35.731,81.38,31.21,1006.98,0.5,1153.1
2026-07-01T10:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,84.4,Deep Convection,0.6659,38.151,81.85,28.49,1009.0,0.5,1188.9
2026-07-01T11:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,100.0,Deep Convection,0.6588,15.692,77.51,28.74,1005.66,0.5,889.9
2026-07-01T12:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,96.31,Deep Convection,0.709,28.381,79.16,29.76,1007.14,0.5,428.4
2026-07-01T13:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,98.71,Deep Convection,0.7705,35.098,76.99,28.48,1007.08,0.5,537.1
2026-07-01T14:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,97.86,Deep Convection,0.6764,24.087,79.6,29.84,1004.93,0.5,1195.6
2026-07-01T15:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,90.86,Deep Convection,0.8126,41.215,79.06,28.11,1006.98,0.5,914.5
2026-07-01T16:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,96.1,Deep Convection,0.8752,19.638,78.83,26.91,1005.23,0.5,1075.2
2026-07-01T17:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,99.02,Deep Convection,0.8658,21.159,78.29,25.11,1003.27,0.5,547.5
2026-07-01T18:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,90.15,Deep Convection,0.924,18.805,87.01,25.97,1008.65,0.5,1038.1
2026-07-01T19:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,92.1,Deep Convection,0.6813,15.016,86.52,23.3,1006.18,0.5,476.0
2026-07-01T20:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,92.53,Deep Convection,0.6901,20.652,91.67,21.35,1006.93,0.5,1016.1
2026-07-01T21:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,99.12,Deep Convection,0.7858,28.767,91.86,22.83,1003.03,0.5,573.0
2026-07-01T22:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,87.13,Deep Convection,0.6878,40.772,85.39,20.92,1007.49,0.5,540.8
2026-07-01T23:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,89.23,Nimbostratus,0.9197,28.12,90.93,17.37,1006.53,0.5,851.2
2026-07-02T00:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,100.0,Deep Convection,0.7551,24.995,94.58,19.86,1004.23,0.5,1022.5
2026-07-02T01:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,93.52,Deep Convection,0.768,22.58,93.98,20.14,1009.33,0.5,825.9
2026-07-02T02:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,86.89,Deep Convection,0.7189,21.961,92.9,21.72,1008.59,0.5,1138.3
2026-07-02T03:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,83.88,Deep Convection,0.8042,19.53,94.75,20.02,1005.21,0.5,505.7
2026-07-02T04:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,93.74,Deep Convection,0.7426,33.98,87.57,23.3,1005.39,0.5,1107.5
2026-07-02T05:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,82.32,Deep Convection,0.8121,26.628,85.13,23.47,1007.02,0.5,428.6
2026-07-02T06:00:00+00:00,ID,Indonesia,-0.7893,113.9213,Tropical Rainforest,90.66,Deep Convection,0.6557,43.331,83.7,24.73,1006.38,0.5,755.2
