timestamp,country_code,country_name,latitude,longitude,climate_zone,cloud_cover_pct,cloud_type,satellite_reflectance,optical_depth,humidity_pct,temperature_c,pressure_hpa,wind_speed_ms,cloud_base_altitude_m
2026-07-01T00:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,22.5,Cirrus,0.3529,3.146,39.46,12.25,1017.87,0.5,8437.6
2026-07-01T01:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,27.98,Altocumulus,0.1792,4.99,37.64,8.91,1017.03,0.5,8011.4
2026-07-01T02:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,30.08,Cumulus,0.2618,4.553,35.55,9.14,1015.72,0.5,5853.0
2026-07-01T03:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,37.93,Cirrus,0.3582,1.926,31.62,10.31,1015.43,0.5,6848.4
2026-07-01T04:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,33.88,Altocumulus,0.1907,1.203,36.56,13.01,1016.95,0.5,4702.0
2026-07-01T05:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,24.92,Cumulus,0.3007,3.768,32.88,14.44,1017.2,0.5,4494.7
2026-07-01T06:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,33.46,Cumulus,0.2652,3.747,29.89,16.04,1013.36,0.5,4268.0
2026-07-01T07:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,32.68,Altocumulus,0.2846,3.097,28.75,16.96,1016.26,0.5,4389.0
2026-07-01T08:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,30.54,Cumulus,0.1591,4.163,23.45,17.82,1018.48,0.5,6125.4
2026-07-01T09:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,34.28,Altocumulus,0.3145,4.835,26.25,17.75,1016.8,0.5,4740.0
2026-07-01T10:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,35.25,Cumulus,0.2358,5.086,28.07,18.06,1016.88,0.5,8010.7
2026-07-01T11:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,37.21,Cumulus,0.3467,5.287,25.99,18.34,1018.2,0.5,5515.1
2026-07-01T12:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,28.06,Cumulus,0.3396,5.68,20.53,19.09,1014.91,0.5,5054.0
2026-07-01T13:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,49.75,Cumulus,0.1691,3.179,25.47,22.32,1011.02,0.5,4315.6
2026-07-01T14:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,34.55,Cumulus,0.3463,3.127,19.72,18.87,1014.94,0.5,5891.2
2026-07-01T15:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,44.59,Altocumulus,0.2375,4.803,21.84,18.39,1013.05,0.5,8095.7
2026-07-01T16:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,46.82,Altocumulus,0.2869,4.914,26.36,18.15,1014.2,0.5,4058.7
2026-07-01T17:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,30.16,Altocumulus,0.265,2.403,26.37,17.86,1015.16,0.5,3649.1
2026-07-01T18:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,39.82,Cumulus,0.2426,5.069,30.65,15.74,1018.17,0.5,7626.0
2026-07-01T19:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,32.34,Cirrus,0.3459,2.399,33.41,16.2,1017.85,0.5,8492.8
2026-07-01T20:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,33.76,Altocumulus,0.1714,2.049,31.13,10.95,1016.85,0.5,4853.6
2026-07-01T21:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,39.86,Cirrus,0.343,2.095,37.94,11.39,1014.3,0.5,4365.6
2026-07-01T22:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,37.65,Cumulus,0.2085,5.958,32.29,7.73,1012.96,0.5,7976.6
2026-07-01T23:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,44.63,Cumulus,0.3793,4.295,33.68,10.23,1016.64,0.5,4011.0
2026-07-02T00:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,42.42,Cirrus,0.2414,3.009,40.1,10.24,1013.78,0.5,4369.2
2026-07-02T01:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,27.51,Altocumulus,0.1618,3.436,43.62,8.7,1016.28,0.5,5360.4
2026-07-02T02:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,29.51,Cirrus,0.1599,2.094,33.19,10.57,1016.35,0.5,5604.5
2026-07-02T03:00:00+00:00,MX,Mexico,23.6345,-102.5528,Tropical / Desert,26.19,Altocumulus,0.2757,2.487,34.16,11.2,1016.69,0.5,4231.8
