timestamp,country_code,country_name,latitude,longitude,climate_zone,cloud_cover_pct,cloud_type,satellite_reflectance,optical_depth,humidity_pct,temperature_c,pressure_hpa,wind_speed_ms,cloud_base_altitude_m
2026-07-01T00:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,38.63,Cirrus,0.3255,1.134,41.71,12.83,1013.64,0.5,4107.4
2026-07-01T01:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,26.28,Altocumulus,0.1736,5.768,41.01,12.81,1019.31,0.5,7513.5
2026-07-01T02:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,23.45,Cumulus,0.3508,2.313,40.11,12.74,1018.04,0.5,8562.6
2026-07-01T03:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,38.51,Cumulus,0.2325,2.299,32.02,14.48,1018.22,0.5,8919.4
2026-07-01T04:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,34.85,Altocumulus,0.282,3.515,31.94,12.77,1014.68,0.5,3762.2
2026-07-01T05:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,32.45,Cirrus,0.2318,1.484,32.98,16.01,1014.98,0.5,6942.5
2026-07-01T06:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,39.75,Altocumulus,0.1935,5.164,27.53,16.71,1012.37,0.5,6913.5
2026-07-01T07:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,27.2,Cirrus,0.3129,1.825,27.43,16.81,1016.85,0.5,4091.8
2026-07-01T08:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,30.33,Cumulus,0.2239,1.983,22.7,21.12,1015.94,0.5,6282.2
2026-07-01T09:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,34.08,Cirrus,0.3087,3.156,25.81,19.45,1015.79,0.5,3983.1
2026-07-01T10:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,37.44,Altocumulus,0.3053,5.059,27.92,22.24,1015.14,0.5,4925.6
2026-07-01T11:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,51.5,Stratocumulus,0.5703,12.222,22.18,21.15,1012.97,0.5,1097.7
2026-07-01T12:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,36.97,Altocumulus,0.3236,5.22,22.07,20.64,1016.65,0.5,5158.8
2026-07-01T13:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,42.14,Cirrus,0.2568,4.925,21.0,20.84,1014.95,0.5,6175.7
2026-07-01T14:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,39.91,Cumulus,0.3498,5.844,23.88,22.19,1012.71,0.5,6330.3
2026-07-01T15:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,33.35,Altocumulus,0.2913,5.041,24.42,18.6,1016.0,0.5,6251.6
2026-07-01T16:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,40.15,Cirrus,0.3398,4.143,24.52,19.93,1012.92,0.5,8935.9
2026-07-01T17:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,39.1,Cumulus,0.2653,5.322,24.11,19.96,1016.67,0.5,7777.4
2026-07-01T18:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,36.98,Altocumulus,0.3286,3.974,30.13,15.03,1015.76,0.5,5722.0
2026-07-01T19:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,39.12,Altocumulus,0.3336,2.001,34.19,14.53,1014.5,0.5,5431.4
2026-07-01T20:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,33.34,Cumulus,0.2068,3.434,37.04,13.41,1016.51,0.5,5762.5
2026-07-01T21:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,30.51,Cirrus,0.2583,3.544,34.66,13.52,1017.73,0.5,7132.3
2026-07-01T22:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,37.23,Altocumulus,0.3058,5.443,38.82,13.0,1013.56,0.5,7073.2
2026-07-01T23:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,34.92,Cumulus,0.3655,3.37,40.94,12.18,1014.91,0.5,6847.5
2026-07-02T00:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,26.88,Altocumulus,0.3272,4.023,33.98,13.77,1016.12,0.5,3760.2
2026-07-02T01:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,40.22,Cirrus,0.2171,4.092,36.19,11.22,1015.33,0.5,3625.7
2026-07-02T02:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,35.03,Cirrus,0.2284,2.441,36.82,11.17,1018.09,0.5,6014.1
2026-07-02T03:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,36.2,Cirrus,0.2506,4.55,34.16,12.19,1016.25,0.5,3510.7
2026-07-02T04:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,28.91,Altocumulus,0.2029,1.938,34.48,13.14,1015.27,0.5,7545.9
2026-07-02T05:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,31.63,Altocumulus,0.3695,1.7,37.9,16.67,1015.1,0.5,6099.2
2026-07-02T06:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,36.26,Cumulus,0.1726,3.941,30.95,16.5,1015.18,0.5,3726.4
2026-07-02T07:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,27.57,Altocumulus,0.3658,1.757,28.37,17.55,1017.11,0.5,7327.6
2026-07-02T08:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,21.97,Cumulus,0.3298,3.689,22.76,19.97,1017.74,0.5,8750.7
2026-07-02T09:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,36.7,Altocumulus,0.2747,2.028,24.4,20.05,1015.7,0.5,4747.5
2026-07-02T10:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,27.88,Cumulus,0.2968,3.381,24.06,22.04,1017.59,0.5,8815.9
2026-07-02T11:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,28.28,Cirrus,0.2689,5.929,22.9,20.79,1018.98,0.5,7302.4
2026-07-02T12:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,36.13,Cumulus,0.2261,5.891,23.22,19.61,1013.84,0.5,3711.5
2026-07-02T13:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,30.44,Cirrus,0.3247,4.256,22.09,24.32,1015.63,0.5,7146.5
2026-07-02T14:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,26.14,Altocumulus,0.3242,2.742,23.2,20.97,1015.21,0.5,8317.8
2026-07-02T15:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,9.4,Clear,0.0733,0.413,23.05,19.06,1017.78,0.5,0
2026-07-02T16:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,17.12,Cirrus,0.1894,1.394,23.59,19.4,1019.12,0.5,6784.0
2026-07-02T17:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,8.57,Clear,0.1048,0.113,32.6,17.33,1018.91,0.5,0
2026-07-02T18:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,5.76,Clear,0.074,0.179,31.61,17.14,1019.8,0.5,0
2026-07-02T19:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,13.07,Clear,0.0224,0.776,28.82,16.1,1018.45,0.5,0
2026-07-02T20:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,15.96,Cumulus,0.2152,2.616,31.18,12.73,1023.66,0.5,6834.0
2026-07-02T21:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,12.75,Clear,0.0251,0.474,34.51,13.83,1018.39,0.5,0
2026-07-02T22:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,7.99,Clear,0.0309,0.664,40.0,13.45,1015.61,0.5,0
2026-07-02T23:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,13.32,Clear,0.0616,0.312,36.09,11.36,1018.5,0.5,0
2026-07-03T00:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,2.96,Clear,0.0894,0.685,37.63,11.87,1021.83,0.5,0
2026-07-03T01:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,5.78,Clear,0.111,0.735,40.05,13.32,1018.51,0.5,0
2026-07-03T02:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,4.11,Clear,0.1087,0.747,32.7,13.35,1018.12,0.5,0
2026-07-03T03:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,10.04,Clear,0.0657,0.648,33.2,12.52,1018.28,0.5,0
2026-07-03T04:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.0,Clear,0.032,0.111,34.35,14.52,1022.86,0.5,0
2026-07-03T05:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,8.6,Clear,0.0518,0.468,30.82,15.52,1019.64,0.5,0
2026-07-03T06:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,2.92,Clear,0.0499,0.449,24.95,14.8,1019.46,0.5,0
2026-07-03T07:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.0,Clear,0.1189,0.298,26.78,17.22,1022.28,0.5,0
2026-07-03T08:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.0,Clear,0.1124,0.379,23.94,20.91,1021.45,0.5,0
2026-07-03T09:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.0,Clear,0.1063,0.497,21.18,18.56,1022.59,0.5,0
2026-07-03T10:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.0,Clear,0.1062,0.693,20.55,20.54,1022.36,0.5,0
2026-07-03T11:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.0,Clear,0.0315,0.159,17.55,21.72,1017.45,0.5,0
2026-07-03T12:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.0,Clear,0.0653,0.641,22.92,20.5,1020.63,0.5,0
2026-07-03T13:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.0,Clear,0.0507,0.767,21.95,20.69,1020.26,0.5,0
2026-07-03T14:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,8.04,Clear,0.0813,0.738,29.69,20.01,1019.26,0.5,0
2026-07-03T15:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.0,Clear,0.1022,0.512,21.57,17.74,1020.17,0.5,0
2026-07-03T16:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,7.95,Clear,0.1037,0.088,26.34,17.98,1019.07,0.5,0
2026-07-03T17:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,5.03,Clear,0.0422,0.406,27.34,17.97,1020.07,0.5,0
2026-07-03T18:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,2.33,Clear,0.1112,0.399,37.05,19.06,1022.42,0.5,0
2026-07-03T19:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.0,Clear,0.1062,0.228,24.5,14.51,1020.73,0.5,0
2026-07-03T20:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.0,Clear,0.0353,0.736,36.32,15.03,1022.04,0.5,0
2026-07-03T21:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,3.31,Clear,0.033,0.141,35.91,13.67,1019.74,0.5,0
2026-07-03T22:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,7.25,Clear,0.0303,0.375,40.47,13.65,1018.95,0.5,0
2026-07-03T23:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,0.49,Clear,0.1006,0.214,35.8,12.32,1018.71,0.5,0
2026-07-04T00:00:00+00:00,AE,United Arab Emirates,23.4241,53.8478,Subtropical Desert,5.12,Clear,0.0364,0.728,40.52,10.8,1021.32,0.5,0
