timestamp,country_code,country_name,latitude,longitude,climate_zone,cloud_cover_pct,cloud_type,satellite_reflectance,optical_depth,humidity_pct,temperature_c,pressure_hpa,wind_speed_ms,cloud_base_altitude_m
2026-07-01T00:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,88.15,Nimbostratus,0.92,39.619,92.83,-4.18,1008.91,0.5,812.1
2026-07-01T01:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,78.57,Stratocumulus,0.4489,11.758,91.99,-1.47,1007.86,0.5,2219.0
2026-07-01T02:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,83.13,Nimbostratus,0.7659,29.706,90.16,-1.55,1009.19,0.5,660.6
2026-07-01T03:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,79.37,Altocumulus,0.4093,11.636,94.38,-1.44,1010.62,0.5,2194.4
2026-07-01T04:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,82.41,Nimbostratus,0.8051,17.965,93.86,-0.38,1009.02,0.5,1046.5
2026-07-01T05:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,88.16,Nimbostratus,0.9329,42.134,85.1,2.65,1007.42,0.5,507.0
2026-07-01T06:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,95.69,Nimbostratus,0.6951,29.134,84.31,4.16,1008.57,0.5,1053.6
2026-07-01T07:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,91.89,Nimbostratus,0.8052,42.01,81.15,3.33,1007.37,0.5,1148.6
2026-07-01T08:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,86.73,Nimbostratus,0.908,32.697,81.83,6.07,1005.58,0.5,639.9
2026-07-01T09:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,92.02,Nimbostratus,0.819,20.832,84.13,4.79,1004.9,0.5,1037.7
2026-07-01T10:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,93.41,Nimbostratus,0.8663,35.905,81.43,7.51,1006.63,0.5,434.1
2026-07-01T11:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,93.3,Nimbostratus,0.9355,24.137,77.01,6.69,1009.14,0.5,1008.4
2026-07-01T12:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,92.74,Nimbostratus,0.8136,41.325,79.32,8.83,1007.21,0.5,774.4
2026-07-01T13:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,100.0,Nimbostratus,0.709,15.858,83.85,7.5,1007.32,0.5,1069.6
2026-07-01T14:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,90.29,Nimbostratus,0.8066,26.233,79.08,8.31,1005.67,0.5,583.1
2026-07-01T15:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,94.75,Nimbostratus,0.8029,38.619,77.25,10.27,1006.18,0.5,1002.3
2026-07-01T16:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,96.94,Nimbostratus,0.7333,26.022,85.55,5.57,1006.0,0.5,674.8
2026-07-01T17:00:00+00:00,GB,United Kingdom,55.3781,-3.436,Maritime Temperate,88.46,Nimbostratus,0.8417,34.567,85.37,7.24,1008.6,0.5,1157.1
