timestamp,country_code,country_name,latitude,longitude,climate_zone,cloud_cover_pct,cloud_type,satellite_reflectance,optical_depth,humidity_pct,temperature_c,pressure_hpa,wind_speed_ms,cloud_base_altitude_m
2026-07-01T00:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,60.85,Altocumulus,0.6441,5.324,69.56,-2.14,1010.85,0.5,1519.1
2026-07-01T01:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,51.76,Altocumulus,0.635,13.595,65.84,-0.53,1015.69,0.5,1994.7
2026-07-01T02:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,47.67,Altocumulus,0.3699,2.911,68.09,1.4,1011.85,0.5,8398.2
2026-07-01T03:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,52.18,Stratocumulus,0.5507,13.752,64.09,3.48,1013.25,0.5,2764.5
2026-07-01T04:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,64.44,Stratocumulus,0.4198,16.95,64.35,2.25,1011.41,0.5,1207.7
2026-07-01T05:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,65.21,Stratocumulus,0.3729,9.487,56.22,4.27,1009.77,0.5,2424.8
2026-07-01T06:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,61.21,Altocumulus,0.4111,7.031,62.73,6.35,1013.22,0.5,2577.8
2026-07-01T07:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,56.85,Stratocumulus,0.5894,14.716,54.5,5.72,1011.33,0.5,1768.9
2026-07-01T08:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,61.72,Altocumulus,0.3525,7.894,59.2,5.58,1009.53,0.5,1978.8
2026-07-01T09:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,70.87,Stratocumulus,0.5791,17.546,52.02,8.06,1009.96,0.5,2016.0
2026-07-01T10:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,64.75,Stratocumulus,0.4241,14.432,59.54,10.02,1009.64,0.5,2895.5
2026-07-01T11:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,77.99,Stratocumulus,0.5374,11.567,54.71,9.35,1010.0,0.5,2646.0
2026-07-01T12:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,63.45,Altocumulus,0.4134,11.313,53.88,9.41,1009.55,0.5,2329.5
2026-07-01T13:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,64.82,Cumulus,0.4096,6.22,54.67,11.0,1011.5,0.5,1196.4
2026-07-01T14:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,66.97,Altocumulus,0.4359,17.946,52.49,8.46,1011.04,0.5,2917.0
2026-07-01T15:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,69.43,Altocumulus,0.4876,13.374,50.37,8.29,1010.69,0.5,2340.3
2026-07-01T16:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,70.72,Cumulus,0.4326,13.516,56.97,7.82,1009.77,0.5,1893.2
2026-07-01T17:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,64.46,Stratocumulus,0.3583,16.782,62.88,6.1,1012.99,0.5,2203.2
2026-07-01T18:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,61.54,Cumulus,0.489,17.433,60.28,5.7,1009.71,0.5,2525.0
2026-07-01T19:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,69.98,Stratocumulus,0.3622,12.025,67.34,5.89,1010.67,0.5,1393.2
2026-07-01T20:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,70.22,Altocumulus,0.384,10.179,63.05,1.36,1006.92,0.5,1265.7
2026-07-01T21:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,73.23,Stratocumulus,0.5991,15.398,63.11,2.46,1010.39,0.5,2550.0
2026-07-01T22:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,66.2,Cumulus,0.5825,13.717,71.64,0.11,1012.04,0.5,1508.8
2026-07-01T23:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,67.72,Cumulus,0.4907,14.017,68.99,1.35,1008.56,0.5,2825.5
2026-07-02T00:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,78.44,Cumulus,0.5822,11.878,65.34,-0.11,1010.0,0.5,2814.1
2026-07-02T01:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,74.56,Cumulus,0.4998,10.454,68.92,1.69,1009.43,0.5,1115.9
2026-07-02T02:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,67.31,Altocumulus,0.5678,15.527,63.84,1.99,1010.83,0.5,1168.9
2026-07-02T03:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,67.86,Altocumulus,0.4474,15.274,61.5,3.45,1008.64,0.5,1209.1
2026-07-02T04:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,67.53,Cumulus,0.5704,13.806,66.75,2.77,1012.55,0.5,2398.4
2026-07-02T05:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,63.81,Stratocumulus,0.644,13.22,61.91,4.78,1007.12,0.5,2694.4
2026-07-02T06:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,46.24,Cumulus,0.342,2.986,63.33,5.88,1012.22,0.5,7103.0
2026-07-02T07:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,55.55,Altocumulus,0.3838,10.375,61.43,5.7,1011.22,0.5,2193.7
2026-07-02T08:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,58.52,Cumulus,0.3844,12.032,53.29,6.76,1012.62,0.5,2481.2
2026-07-02T09:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,61.03,Cumulus,0.3976,16.604,54.49,8.53,1010.95,0.5,1084.9
2026-07-02T10:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,61.06,Cumulus,0.3696,5.164,59.43,10.7,1010.48,0.5,2806.3
2026-07-02T11:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,41.72,Cumulus,0.2292,2.835,58.51,9.18,1014.35,0.5,4739.9
2026-07-02T12:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,51.84,Stratocumulus,0.4762,7.494,49.97,12.62,1012.64,0.5,1560.6
2026-07-02T13:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,54.9,Altocumulus,0.5972,8.794,52.7,9.3,1010.51,0.5,2079.4
2026-07-02T14:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,44.44,Cirrus,0.3152,1.811,50.67,9.68,1015.73,0.5,4645.8
2026-07-02T15:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,47.59,Cumulus,0.1604,1.531,53.01,8.02,1011.61,0.5,5148.5
2026-07-02T16:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,39.94,Altocumulus,0.2218,1.21,53.63,8.5,1014.74,0.5,7270.0
2026-07-02T17:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,46.83,Altocumulus,0.271,3.819,56.53,6.22,1013.35,0.5,8506.0
2026-07-02T18:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,43.4,Cirrus,0.1651,1.922,62.95,7.21,1014.38,0.5,8010.0
2026-07-02T19:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,47.82,Altocumulus,0.2158,4.146,60.72,5.07,1012.59,0.5,3725.8
2026-07-02T20:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,43.15,Altocumulus,0.3247,2.668,60.1,2.77,1013.09,0.5,5477.4
2026-07-02T21:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,46.39,Cumulus,0.2381,3.956,61.57,0.59,1014.76,0.5,6047.8
2026-07-02T22:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,40.8,Cumulus,0.2085,2.395,66.86,2.63,1015.0,0.5,4159.0
2026-07-02T23:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,35.23,Cirrus,0.2185,5.262,65.33,2.09,1016.11,0.5,3966.5
2026-07-03T00:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,31.44,Cirrus,0.3123,1.419,69.37,0.77,1011.68,0.5,6174.6
2026-07-03T01:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,42.49,Cumulus,0.3034,3.759,67.74,-1.98,1013.5,0.5,7859.7
2026-07-03T02:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,34.14,Cirrus,0.2099,5.613,69.01,1.13,1016.66,0.5,4895.0
2026-07-03T03:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,34.09,Cumulus,0.2781,4.133,67.16,1.07,1015.49,0.5,8417.2
2026-07-03T04:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,34.09,Altocumulus,0.1889,3.662,62.96,2.8,1014.81,0.5,6754.8
2026-07-03T05:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,28.78,Cumulus,0.2039,1.151,63.89,2.42,1013.78,0.5,4345.1
2026-07-03T06:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,32.86,Cumulus,0.2963,4.502,59.68,6.06,1017.22,0.5,5361.5
2026-07-03T07:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,31.78,Cumulus,0.2312,1.282,62.11,5.59,1015.2,0.5,4321.3
2026-07-03T08:00:00+00:00,CA,Canada,56.1304,-106.3468,Subarctic / Continental,32.34,Cirrus,0.1987,5.329,58.95,7.39,1013.46,0.5,3844.5
