timestamp,country_code,country_name,latitude,longitude,climate_zone,cloud_cover_pct,cloud_type,satellite_reflectance,optical_depth,humidity_pct,temperature_c,pressure_hpa,wind_speed_ms,cloud_base_altitude_m
2026-07-01T00:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,57.76,Altocumulus,0.5729,6.079,72.52,-1.54,1011.55,0.5,1004.4
2026-07-01T01:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,57.55,Altocumulus,0.3947,6.474,65.13,-1.6,1009.0,0.5,2839.7
2026-07-01T02:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,54.74,Cumulus,0.6367,11.502,67.17,-2.25,1012.07,0.5,1185.7
2026-07-01T03:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,52.1,Stratocumulus,0.3554,13.631,60.75,-2.01,1015.34,0.5,2453.9
2026-07-01T04:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,50.81,Altocumulus,0.6034,9.975,65.37,-0.87,1012.63,0.5,1375.2
2026-07-01T05:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,65.89,Cumulus,0.4863,10.281,63.98,1.42,1009.09,0.5,1805.6
2026-07-01T06:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,69.33,Altocumulus,0.5384,17.653,59.63,2.91,1010.22,0.5,2465.3
2026-07-01T07:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,66.2,Stratocumulus,0.5303,15.192,57.01,4.92,1011.06,0.5,1615.6
2026-07-01T08:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,66.72,Cumulus,0.5735,10.947,54.79,3.85,1010.43,0.5,1316.3
2026-07-01T09:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,67.11,Altocumulus,0.6074,13.375,64.09,8.1,1010.35,0.5,2946.3
2026-07-01T10:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,74.16,Cumulus,0.508,13.215,54.5,5.97,1010.57,0.5,1064.5
2026-07-01T11:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,65.17,Cumulus,0.45,6.962,53.01,6.14,1010.99,0.5,2488.8
2026-07-01T12:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,60.1,Stratocumulus,0.4258,8.985,51.98,7.57,1011.0,0.5,2725.5
2026-07-01T13:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,67.19,Stratocumulus,0.6176,16.343,53.14,5.49,1010.46,0.5,1535.6
2026-07-01T14:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,67.16,Stratocumulus,0.4824,11.607,50.1,7.36,1010.95,0.5,1125.2
2026-07-01T15:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,62.87,Cumulus,0.4837,9.145,54.57,5.49,1010.65,0.5,2108.1
2026-07-01T16:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,70.07,Altocumulus,0.4329,11.611,57.28,3.91,1010.51,0.5,1735.7
2026-07-01T17:00:00+00:00,RU,Russia,61.524,105.3188,Subarctic / Humid Continental,65.25,Stratocumulus,0.3885,7.945,60.52,2.54,1012.75,0.5,2659.7
